window_idx,anomaly_score,y_true,y_type
223777,0.73466253,1,Reconn
223913,0.3147966,1,Reconn
224084,0.20046413,1,Reconn
224218,0.29575452,1,Reconn
224331,0.19722843,1,Reconn
224375,0.2683563,1,Reconn
224517,0.26708084,1,Reconn
224539,0.5171435,1,Reconn
224806,0.6166859,1,Reconn
224822,0.1880028,1,Reconn
224893,0.23593678,1,Reconn
224915,0.24600291,1,Reconn
224943,1.0611883,1,Reconn
225208,0.4039863,1,Reconn
225210,0.38146597,1,Reconn
225216,0.25668186,1,Reconn
225397,0.49687687,1,Reconn
225449,0.2566345,1,Reconn
225800,0.28199506,1,Reconn
225826,0.22137412,1,Reconn
225945,0.78749895,1,Reconn
225993,0.21776423,1,Reconn
226031,0.30008847,1,Reconn
226152,0.27125055,1,Reconn
226397,0.2941501,1,Reconn
226427,0.35186186,1,Reconn
226604,0.27342528,1,Reconn
226662,0.3759259,1,Reconn
226727,0.23781492,1,Reconn
226733,0.5767201,1,Reconn
226829,0.24281019,1,Reconn
226911,0.8927006,1,Reconn
226923,0.17031887,1,Reconn
227221,0.4972591,1,Reconn
227459,0.4227177,1,Reconn
227464,0.21217868,1,Reconn
227549,0.24333265,1,Reconn
227666,0.18900996,1,Reconn
227680,0.43916973,1,Reconn
227718,0.30449274,1,Reconn
227918,0.47536412,1,Reconn
228214,0.6685619,1,Reconn
228228,0.23848297,1,Reconn
228254,0.24794817,1,Reconn
228450,0.256938,1,Reconn
228508,2.1014051,1,Reconn
228557,0.74686086,1,Reconn
228686,0.5099267,1,Reconn
228706,0.2793853,1,Reconn
228916,0.22809562,1,Reconn
228951,1.5498698,1,Reconn
228952,1.8220206,1,Reconn
229028,0.34368065,1,Reconn
229066,0.26360303,1,Reconn
229107,0.97987753,1,Reconn
229144,0.201288,1,Reconn
229170,0.28389454,1,Reconn
229201,0.24268322,1,Reconn
229350,0.5047191,1,Reconn
229355,1.692917,1,Reconn
229406,0.5447297,1,Reconn
229458,0.18763065,1,Reconn
229504,1.4396844,1,Reconn
229511,0.3393996,1,Reconn
229560,0.4867383,1,Reconn
229595,2.7134447,1,Reconn
229751,0.8978029,1,Reconn
229772,0.54095304,1,Reconn
230065,0.4097817,1,Reconn
230151,0.92014515,1,Reconn
230163,0.2315722,1,Reconn
230168,1.4529992,1,Reconn
230390,0.26055652,1,Reconn
230433,0.8982745,1,Reconn
230694,0.33018687,1,Reconn
230829,0.34464946,1,Reconn
230851,0.87706244,1,Reconn
230896,0.2857734,1,Reconn
230963,0.45170987,1,Reconn
230999,0.26695007,1,Reconn
231035,1.9894394,1,Reconn
231197,0.47573346,1,Reconn
231222,0.24447411,1,Reconn
231299,0.55315256,1,Reconn
231644,0.7565883,1,Reconn
231663,0.2727831,1,Reconn
231666,0.2132417,1,Reconn
231669,0.6035189,1,Reconn
231859,0.2091828,1,Reconn
232162,0.44950107,1,Reconn
232176,0.31657755,1,Reconn
232359,15.792001,1,Reconn
232596,0.2655709,1,Reconn
232600,0.7871275,1,Reconn
232794,0.5708716,1,Reconn
232835,1.0426087,1,Reconn
233013,0.57410216,1,Reconn
233014,0.48909274,1,Reconn
233607,0.18506372,1,Reconn
233610,0.62320024,1,Reconn
233618,0.64157885,1,Reconn
233646,0.2061249,1,Reconn
233732,0.8855381,1,Reconn
233807,0.24140733,1,Reconn
233811,0.2594134,1,Reconn
233855,0.3399722,1,Reconn
233863,0.257517,1,Reconn
233879,0.22640702,1,Reconn
233911,0.22467923,1,Reconn
234309,0.6251219,1,Reconn
234316,0.19860709,1,Reconn
234338,0.90752333,1,Reconn
234402,0.3935109,1,Reconn
234474,0.27336907,1,Reconn
234501,0.6956822,1,Reconn
234594,0.57635915,1,Reconn
234599,0.5094386,1,Reconn
234641,0.9561025,1,Reconn
234697,0.5015701,1,Reconn
234712,0.23666303,1,Reconn
234761,0.46626836,1,Reconn
234865,0.24404716,1,Reconn
234891,0.26391497,1,Reconn
235054,0.2559955,1,Reconn
235161,0.9528763,1,Reconn
235191,0.3043293,1,Reconn
235202,0.20292331,1,Reconn
235454,0.5417177,1,Reconn
235459,0.49264017,1,Reconn
235521,0.22113198,1,Reconn
235606,0.28368932,1,Reconn
235607,0.29578775,1,Reconn
235650,0.5889805,1,Reconn
235737,0.22027755,1,Reconn
235771,0.3331225,1,Reconn
235979,0.6717181,1,Reconn
236124,0.49620655,1,Reconn
236134,0.208944,1,Reconn
236412,1.4403778,1,Reconn
236583,0.5215794,1,Reconn
236733,0.9288285,1,Reconn
236843,0.35782075,1,Reconn
236952,0.2838685,1,Reconn
237078,0.46900004,1,Reconn
237082,0.21901274,1,Reconn
237113,0.18851739,1,Reconn
237133,1.048444,1,Reconn
237181,0.47743386,1,Reconn
237183,0.487145,1,Reconn
237186,0.49462277,1,Reconn
237199,0.8154961,1,Reconn
237363,0.28093645,1,Reconn
237366,0.41387185,1,Reconn
237494,0.40324032,1,Reconn
237617,0.30552176,1,Reconn
237928,0.5098641,1,Reconn
237930,0.4978919,1,Reconn
238106,0.34587306,1,Reconn
238254,0.46163416,1,Reconn
238291,0.34698623,1,Reconn
238514,0.24675322,1,Reconn
238592,0.29433382,1,Reconn
238640,0.23278843,1,Reconn
238864,0.27635688,1,Reconn
238878,0.17107435,1,Reconn
239031,0.81413835,1,Reconn
239037,0.48769447,1,Reconn
239206,0.5377755,1,Reconn
239375,0.37802848,1,Reconn
239379,0.30044797,1,Reconn
239409,0.20969415,1,Reconn
239493,0.26047558,1,Reconn
239502,0.24047023,1,Reconn
239507,2.5512948,1,Reconn
239657,0.18860702,1,Reconn
239718,0.33137178,1,Reconn
240105,0.23714161,1,Reconn
240136,0.24563271,1,Reconn
240227,0.33519602,1,Reconn
240290,0.38341558,1,Reconn
240395,0.24833263,1,Reconn
240428,0.6830639,1,Reconn
240443,0.22250892,1,Reconn
240575,0.24847916,1,Reconn
240586,0.28929234,1,Reconn
240640,0.21337304,1,Reconn
240650,0.5630888,1,Reconn
240765,1.0990088,1,Reconn
240783,0.45385355,1,Reconn
240831,0.2128844,1,Reconn
250873,0.8297344,1,Reconn
250985,1.1506611,1,Reconn
250989,0.25795186,1,Reconn
251024,1.7696931,1,Reconn
251053,0.9193659,1,Reconn
251126,1.3581815,1,Reconn
251131,1.7056234,1,Reconn
251165,4.951254,1,Reconn
251179,1.3964462,1,Reconn
251341,4.30195,1,Reconn
251429,2.2363312,1,Reconn
251433,1.7097721,1,Reconn
251516,1.8248845,1,Reconn
251521,2.4581938,1,Reconn
251541,0.36761442,1,Reconn
251651,1.2702202,1,Reconn
251733,0.29680005,1,Reconn
251738,0.5123219,1,Reconn
251761,6.724839,1,Reconn
251906,0.12763909,1,Reconn
251935,2.3481524,1,Reconn
251952,0.9508724,1,Reconn
251985,2.165853,1,Reconn
251991,1.9319652,1,Reconn
252054,0.9442071,1,Reconn
252224,0.7812773,1,Reconn
252242,4.7657804,1,Reconn
252257,3.5601053,1,Reconn
252284,0.87163985,1,Reconn
252348,0.5657346,1,Reconn
252353,0.7488689,1,Reconn
252363,5.5061736,1,Reconn
252462,0.7945159,1,Reconn
252474,1.1110519,1,Reconn
